Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,wh_age
Rural,Small,West,Zone 1,1,0,6,3396,Company Owned,51,0,0,1,140,25.0,26,1,B+,3,3,32140,14.0
Rural,Large,North,Zone 5,5,0,4,4441,Company Owned,69,0,0,0,131,18.0,20,0,B,4,17,23083,15.0
Rural,Large,North,Zone 6,0,0,3,5025,Rented,28,0,0,1,152,27.0,0,0,Unknown,0,6,3133,14.0
Rural,Large,North,Zone 6,3,0,3,5514,Rented,69,0,0,0,172,19.0,19,0,A,4,23,25127,9.0
Rural,Large,West,Zone 5,0,0,3,5042,Company Owned,38,0,0,1,204,21.0,25,0,B,5,10,31061,14.0
Rural,Large,North,Zone 6,8,2,4,4813,Company Owned,17,0,0,1,211,21.0,23,0,B+,5,29,27084,14.0
Rural,Mid,South,Zone 2,1,3,2,5185,Rented,67,0,0,1,185,35.0,5,0,A,2,32,6083,14.0
Rural,Mid,East,Zone 4,2,1,8,5769,Company Owned,44,0,0,1,213,31.0,4,0,B+,2,26,4091,14.0
Rural,Mid,West,Zone 4,6,0,3,5257,Rented,64,0,0,0,100,26.0,26,0,C,3,11,33133,14.0
Rural,Mid,West,Zone 3,3,0,6,4380,Rented,48,0,0,0,101,21.0,23,0,C,2,19,29081,14.0
Rural,Mid,West,Zone 4,1,0,2,5976,Rented,59,0,0,1,60,50.0,6,0,C,6,26,7105,14.0
Rural,Large,West,Zone 5,4,0,3,5043,Company Owned,46,0,0,1,163,40.0,5,1,B,2,25,6055,2.0
Urban,Mid,West,Zone 4,8,2,4,5378,Rented,27,1,0,1,226,27.0,17,1,B,6,11,21087,19.0
Rural,Large,West,Zone 5,6,1,3,4239,Rented,51,1,0,1,227,25.0,33,1,B+,3,5,40081,22.0
Rural,Mid,South,Zone 2,8,0,4,2157,Rented,70,0,0,1,145,29.0,5,0,C,2,32,6127,6.0
Rural,Small,West,Zone 6,4,0,2,4948,Rented,39,0,0,1,268,27.0,18,1,A+,5,2,26134,16.0
Rural,Large,North,Zone 5,4,0,4,4352,Company Owned,58,0,0,0,76,28.0,0,0,Unknown,0,17,13076,2.0
Rural,Large,West,Zone 5,2,0,6,5302,Rented,31,0,0,0,131,29.0,5,0,A,6,14,7098,14.0
Rural,Large,South,Zone 5,7,3,2,4431,Company Owned,41,0,0,1,114,29.0,21,0,C,2,14,27071,14.0
Rural,Large,North,Zone 6,3,1,2,5220,Rented,22,1,0,1,101,28.0,9,1,A+,6,28,12115,14.0
Rural,Large,North,Zone 6,1,5,4,6670,Company Owned,45,0,0,0,90,24.0,5,1,A+,3,6,7064,14.0
Rural,Mid,South,Zone 4,1,0,1,5498,Company Owned,51,1,0,1,177,31.0,16,0,C,6,26,20105,14.0
Rural,Large,North,Zone 6,3,0,2,4153,Rented,26,0,0,0,260,23.0,36,0,A,4,28,49057,25.0
Rural,Small,West,Zone 6,7,4,4,5066,Company Owned,45,0,0,1,106,24.0,20,0,B,4,9,23122,14.0
Rural,Mid,West,Zone 3,7,0,4,4675,Company Owned,67,0,0,1,193,28.0,27,0,A,2,19,37097,26.0
Rural,Mid,North,Zone 4,2,3,4,3976,Rented,55,0,0,0,270,27.0,17,0,A+,4,26,22147,14.0
Rural,Mid,North,Zone 3,0,0,2,4485,Company Owned,44,1,0,1,121,41.0,23,0,A,6,27,31102,14.0
Rural,Mid,West,Zone 4,4,1,4,5056,Company Owned,68,0,1,1,196,32.0,20,0,C,2,26,25115,14.0
Rural,Mid,West,Zone 4,7,0,3,5067,Company Owned,31,0,0,1,132,27.0,39,1,A+,6,11,55058,23.0
Rural,Large,South,Zone 5,2,0,2,2120,Company Owned,58,0,0,0,199,23.0,23,0,B+,5,10,29072,14.0
Rural,Mid,North,Zone 4,1,0,2,3447,Rented,42,0,0,0,252,19.0,17,0,B,1,26,21056,14.0
Rural,Large,West,Zone 6,2,0,4,5282,Company Owned,54,0,0,1,98,24.0,18,0,A,2,6,23080,14.0
Rural,Mid,West,Zone 2,8,0,3,3997,Company Owned,51,0,0,1,243,31.0,23,1,B,2,18,30092,21.0
Rural,Mid,South,Zone 2,1,2,3,5281,Company Owned,65,0,0,0,212,25.0,37,0,A+,5,12,48140,14.0
Rural,Large,West,Zone 6,8,2,5,5219,Company Owned,44,0,0,1,129,24.0,14,0,A,6,6,17146,14.0
Rural,Mid,North,Zone 3,5,0,2,3872,Company Owned,65,0,0,1,116,26.0,15,1,A+,2,19,22145,7.0
Rural,Mid,West,Zone 4,3,0,3,5189,Company Owned,59,1,0,1,72,30.0,20,0,A,3,26,25106,15.0
Rural,Mid,North,Zone 2,1,0,6,4782,Rented,33,0,0,0,64,16.0,25,0,C,3,12,31116,14.0
Rural,Small,North,Zone 6,7,4,3,3863,Company Owned,70,0,0,1,211,21.0,12,0,C,1,8,16135,7.0
Rural,Mid,South,Zone 4,3,4,4,4366,Company Owned,40,0,0,1,197,26.0,21,0,A,6,26,27069,16.0
Rural,Small,South,Zone 6,6,0,2,6103,Company Owned,50,0,0,1,57,34.0,9,0,B+,5,15,10136,9.0
Rural,Mid,West,Zone 4,8,1,4,3939,Company Owned,50,1,0,1,74,33.0,15,0,B,6,26,18110,16.0
Rural,Small,South,Zone 1,7,2,2,5228,Rented,57,1,0,1,260,22.0,4,1,C,2,31,5064,14.0
Rural,Mid,West,Zone 4,4,0,4,3689,Company Owned,56,0,0,1,149,41.0,7,1,C,3,26,9066,3.0
Urban,Large,North,Zone 6,8,0,2,3045,Rented,65,0,0,0,242,26.0,36,0,B,4,28,45063,24.0
Rural,Small,North,Zone 1,1,2,4,5152,Rented,18,1,0,1,92,28.0,17,0,C,2,31,23119,14.0
Rural,Large,West,Zone 6,8,0,2,4944,Rented,40,0,0,1,120,29.0,22,0,B,2,23,27103,19.0
Rural,Large,South,Zone 6,3,0,2,4117,Company Owned,20,0,0,1,149,25.0,38,0,A,5,29,51103,25.0
Rural,Large,North,Zone 5,3,0,2,5429,Rented,47,0,0,1,238,27.0,22,0,B+,3,24,27135,24.0
Rural,Large,North,Zone 6,4,2,2,4327,Company Owned,26,0,0,1,240,27.0,19,0,B,6,28,22104,10.0
Urban,Large,West,Zone 6,2,2,2,4288,Company Owned,59,0,0,1,55,33.0,22,0,A,3,23,29118,14.0
Rural,Small,North,Zone 6,5,1,3,5383,Rented,31,0,0,0,122,18.0,20,0,B+,5,13,23097,14.0
Urban,Large,West,Zone 6,6,0,3,4758,Company Owned,40,0,0,1,137,24.0,25,1,B+,2,6,31130,22.0
Rural,Mid,North,Zone 4,7,0,4,4881,Rented,38,0,0,0,214,16.0,19,1,A+,3,26,25141,14.0
Rural,Large,West,Zone 6,1,0,4,5771,Company Owned,52,0,0,0,80,25.0,20,0,A,4,6,27148,14.0
Rural,Small,West,Zone 1,7,0,6,4941,Rented,64,0,0,1,170,23.0,7,0,C,3,30,9056,1.0
Rural,Large,North,Zone 6,2,2,3,4891,Rented,35,0,0,0,176,27.0,23,0,B,3,6,27122,14.0
Rural,Mid,South,Zone 4,0,0,3,3878,Company Owned,48,0,1,1,159,42.0,35,0,C,5,11,48063,14.0
Rural,Small,West,Zone 6,6,2,4,7022,Rented,15,0,0,1,110,31.0,14,0,B+,6,15,16083,14.0
Rural,Small,West,Zone 6,1,1,6,4242,Company Owned,63,0,0,1,258,25.0,4,0,B,4,15,5088,14.0
Rural,Small,North,Zone 6,0,0,6,3561,Company Owned,56,0,0,0,250,30.0,17,0,A+,1,9,24056,14.0
Urban,Mid,West,Zone 3,4,0,3,4513,Company Owned,53,0,0,1,137,29.0,23,0,B+,2,19,28124,21.0
Rural,Mid,South,Zone 2,2,1,2,4597,Company Owned,67,0,0,1,71,37.0,19,0,A,6,32,25138,14.0
Rural,Small,North,Zone 1,8,2,3,4567,Rented,42,0,0,1,196,54.0,24,1,A+,3,30,31093,14.0
Rural,Mid,West,Zone 2,3,0,3,4065,Company Owned,68,0,0,1,253,27.0,0,0,Unknown,0,1,6117,1.0
Rural,Mid,West,Zone 3,7,0,5,8178,Company Owned,43,0,0,0,103,26.0,20,0,B+,4,19,23063,12.0
Urban,Large,North,Zone 6,3,0,2,4611,Rented,45,0,0,0,77,27.0,25,0,B+,2,28,31081,20.0
Rural,Large,South,Zone 5,4,0,3,3683,Rented,17,0,0,0,215,26.0,12,0,B,3,25,15075,5.0
Rural,Mid,South,Zone 3,3,1,4,4357,Rented,58,0,0,0,175,25.0,17,0,A,2,19,22108,12.0
Rural,Mid,North,Zone 3,0,0,5,4898,Company Owned,63,0,0,0,217,37.0,20,0,C,4,27,28060,14.0
Rural,Large,North,Zone 5,3,0,3,4335,Company Owned,53,0,0,1,137,27.0,16,1,A+,5,25,21149,17.0
Rural,Small,West,Zone 1,7,3,4,5625,Rented,35,0,0,1,99,26.0,16,1,A+,4,3,22088,14.0
Rural,Large,North,Zone 6,3,0,4,7477,Company Owned,62,0,0,1,145,34.0,13,1,C,5,23,17094,9.0
Rural,Mid,North,Zone 2,7,0,3,5155,Company Owned,20,0,0,1,56,29.0,0,0,Unknown,0,22,6088,0.0
Rural,Large,West,Zone 5,0,0,5,4794,Company Owned,60,0,0,1,86,38.0,23,0,B,6,25,29085,14.0
Rural,Mid,North,Zone 3,5,0,4,4554,Rented,46,0,0,1,72,26.0,27,0,B,6,27,32150,22.0
Rural,Large,South,Zone 5,0,0,2,4944,Company Owned,58,0,0,1,259,47.0,21,0,B+,5,10,24129,14.0
Rural,Large,West,Zone 6,5,0,4,3337,Company Owned,34,0,0,0,146,23.0,19,0,B,6,6,22077,11.0
Rural,Large,West,Zone 5,8,0,4,4730,Rented,36,0,0,0,102,24.0,5,1,C,2,10,7123,2.0
Rural,Small,South,Zone 6,0,0,2,6470,Company Owned,52,0,0,0,259,38.0,10,0,C,6,2,14136,14.0
Rural,Small,South,Zone 6,5,0,2,5916,Company Owned,62,0,0,1,75,20.0,21,0,B+,4,2,24121,14.0
Rural,Large,South,Zone 6,8,1,2,5849,Rented,55,0,0,0,166,22.0,26,0,B,2,29,30090,14.0
Rural,Small,North,Zone 1,4,1,2,5549,Rented,65,0,0,1,223,31.0,25,0,A,3,31,32084,14.0
Rural,Mid,West,Zone 4,7,1,2,4860,Rented,30,0,0,0,212,21.0,21,0,C,1,26,28064,10.0
Rural,Large,North,Zone 5,1,0,4,5104,Company Owned,46,0,0,1,99,26.0,21,0,B,2,24,26068,14.0
Urban,Large,South,Zone 6,6,0,2,5135,Rented,17,1,1,1,170,28.0,23,1,A+,3,29,32097,13.0
Rural,Mid,North,Zone 2,0,0,4,4066,Rented,31,0,0,1,112,23.0,32,0,B,5,12,38072,14.0
Rural,Large,North,Zone 5,7,1,3,4365,Rented,53,0,0,1,162,33.0,6,1,C,2,25,7068,14.0
Rural,Large,North,Zone 6,3,0,2,5674,Rented,56,0,0,0,101,17.0,18,0,C,2,23,24105,15.0
Rural,Mid,North,Zone 4,3,1,3,4488,Company Owned,34,0,0,1,218,30.0,9,0,A,4,26,13107,6.0
Urban,Large,North,Zone 6,1,0,3,3447,Company Owned,39,0,0,1,100,43.0,25,0,C,4,23,32119,14.0
Rural,Mid,South,Zone 2,8,1,2,3686,Rented,39,0,0,0,186,21.0,24,0,A,6,22,32133,21.0
Rural,Large,West,Zone 6,5,0,4,4790,Company Owned,44,1,0,1,201,40.0,24,0,B+,5,23,30127,17.0
Rural,Mid,North,Zone 2,0,0,3,4231,Rented,66,0,0,0,114,18.0,36,0,B,4,12,45107,14.0
Rural,Large,West,Zone 5,6,1,4,5124,Company Owned,22,0,1,1,99,25.0,0,0,Unknown,0,10,6057,1.0
Rural,Mid,West,Zone 2,1,0,4,4535,Rented,39,0,0,0,210,31.0,23,1,A+,2,18,33094,14.0
Rural,Mid,South,Zone 2,5,0,5,5495,Rented,37,0,0,1,271,26.0,10,0,B,4,12,12073,14.0
Rural,Mid,North,Zone 2,6,0,4,4085,Company Owned,54,0,0,1,118,28.0,23,0,B+,4,1,27071,23.0
Rural,Large,North,Zone 6,7,0,5,3999,Rented,32,0,0,0,75,16.0,33,0,B+,6,28,40080,24.0
Rural,Mid,West,Zone 4,1,0,3,4146,Rented,55,0,0,0,59,24.0,23,0,B+,3,26,28113,14.0
Rural,Large,North,Zone 6,1,0,4,3735,Company Owned,36,0,0,1,76,28.0,9,0,A+,6,28,12125,14.0
Rural,Mid,South,Zone 2,5,4,2,4808,Rented,64,0,0,0,162,23.0,25,1,B,6,32,30134,14.0
Rural,Large,North,Zone 6,0,0,5,5134,Rented,17,0,0,0,156,30.0,28,0,B,3,29,35132,14.0
Rural,Small,North,Zone 1,2,0,3,8293,Rented,17,0,0,0,171,19.0,30,0,B+,3,31,37066,14.0
Rural,Large,South,Zone 5,1,0,2,5715,Rented,66,0,0,1,132,28.0,15,0,A+,1,25,20125,14.0
Rural,Small,West,Zone 6,4,1,3,5482,Rented,57,0,0,0,225,27.0,17,1,C,6,15,23147,18.0
Rural,Mid,West,Zone 4,1,3,2,7296,Rented,68,0,0,1,205,28.0,14,0,B+,3,11,16104,14.0
Rural,Mid,East,Zone 3,8,0,5,5558,Company Owned,68,0,0,1,159,26.0,24,0,B+,6,27,30067,17.0
Rural,Large,North,Zone 5,4,2,2,5468,Rented,66,0,0,1,253,29.0,16,0,B+,1,14,18110,14.0
Rural,Large,South,Zone 5,6,1,4,4361,Company Owned,20,0,0,1,103,31.0,21,0,B+,4,25,24063,14.0
Urban,Large,North,Zone 6,4,0,4,4812,Rented,58,0,0,1,192,44.0,5,1,C,1,28,7136,5.0
Rural,Small,North,Zone 1,0,1,2,4534,Rented,32,0,0,1,125,23.0,12,0,C,2,3,16069,14.0
Rural,Mid,South,Zone 2,4,3,2,4833,Company Owned,67,0,0,1,140,33.0,5,1,C,1,32,6142,14.0
Rural,Mid,West,Zone 4,4,0,5,3432,Rented,43,0,0,1,118,27.0,14,1,B+,4,11,18115,13.0
Rural,Large,North,Zone 6,0,0,4,4584,Company Owned,36,1,0,1,222,27.0,18,0,C,1,23,23104,14.0
Rural,Large,North,Zone 6,4,0,3,5006,Company Owned,56,0,0,0,155,21.0,6,1,C,1,29,8137,3.0
Rural,Small,South,Zone 6,8,1,2,5512,Rented,42,0,0,1,120,27.0,11,1,C,3,9,14123,14.0
Rural,Mid,South,Zone 2,6,0,2,4095,Rented,59,0,0,0,258,20.0,29,1,B+,6,12,35147,26.0
Rural,Mid,North,Zone 2,4,0,2,5779,Company Owned,64,0,0,1,271,31.0,33,1,A+,6,12,46122,18.0
Rural,Mid,South,Zone 4,5,0,4,3332,Company Owned,49,0,1,1,222,33.0,5,1,C,1,20,7055,5.0
Rural,Large,North,Zone 6,6,0,4,4459,Company Owned,31,1,0,1,219,31.0,6,1,A+,5,28,9108,7.0
Rural,Large,North,Zone 6,4,0,3,4993,Rented,69,0,0,0,227,26.0,28,1,A+,6,23,39076,18.0
Rural,Small,West,Zone 1,0,0,5,4745,Company Owned,47,0,0,1,189,25.0,0,0,Unknown,0,21,3080,14.0
Rural,Mid,West,Zone 3,1,0,4,4155,Company Owned,50,0,0,1,142,25.0,5,0,A,4,19,7115,14.0
Rural,Mid,South,Zone 2,1,0,4,4235,Rented,28,0,0,0,62,19.0,20,0,A+,4,32,25120,14.0
Rural,Large,North,Zone 6,0,1,4,3671,Rented,36,0,0,1,101,29.0,10,0,C,4,6,13100,14.0
Rural,Mid,North,Zone 4,0,0,4,4290,Rented,64,0,0,0,140,16.0,24,0,A,6,26,30144,14.0
Rural,Large,North,Zone 6,2,0,3,4783,Rented,35,0,0,0,71,16.0,33,0,C,2,23,45136,14.0
Rural,Mid,West,Zone 4,2,0,6,5028,Company Owned,15,0,0,1,158,46.0,25,0,A+,3,26,31132,14.0
Rural,Mid,West,Zone 4,4,0,3,4351,Company Owned,25,0,0,1,241,20.0,29,0,C,3,26,37144,21.0
Rural,Mid,West,Zone 3,5,3,4,3803,Rented,69,0,0,1,128,22.0,17,0,C,4,19,22148,11.0
Rural,Small,West,Zone 6,2,2,4,3893,Rented,51,0,0,1,125,33.0,23,1,C,3,15,30071,14.0
Rural,Small,North,Zone 1,6,0,4,5091,Company Owned,24,1,0,1,146,24.0,20,1,C,3,16,25093,12.0
Rural,Large,South,Zone 6,0,0,3,4761,Company Owned,48,0,0,1,230,25.0,32,0,B+,6,29,38140,14.0
Rural,Small,North,Zone 6,5,0,3,5878,Rented,28,0,0,1,268,25.0,18,1,B+,2,13,21112,14.0
Rural,Small,South,Zone 6,2,0,2,5090,Company Owned,22,1,1,1,96,26.0,31,0,B+,6,2,38137,14.0
Rural,Mid,North,Zone 3,1,0,2,5209,Company Owned,44,1,0,1,173,29.0,9,0,C,6,27,11104,14.0
Rural,Mid,West,Zone 4,7,2,3,5233,Company Owned,54,0,0,1,188,44.0,13,1,A+,2,11,18100,4.0
Rural,Mid,South,Zone 2,4,0,1,3647,Company Owned,29,0,0,1,181,35.0,5,1,A,1,32,7092,5.0
Rural,Large,West,Zone 6,7,0,6,7295,Company Owned,55,0,0,1,266,31.0,0,0,Unknown,0,29,6126,2.0
Urban,Large,North,Zone 5,4,0,2,4880,Company Owned,59,0,0,1,227,50.0,21,1,A,2,14,27077,16.0
Rural,Mid,South,Zone 3,2,1,3,4888,Company Owned,60,0,0,1,188,40.0,10,0,A+,3,19,14058,14.0
Rural,Mid,North,Zone 3,1,4,2,5037,Company Owned,58,0,1,1,201,31.0,5,0,C,2,27,7108,14.0
Rural,Large,North,Zone 5,5,0,3,6967,Company Owned,63,0,0,1,101,44.0,24,1,C,4,17,31093,23.0
Rural,Large,South,Zone 5,6,3,2,4362,Company Owned,49,0,0,1,138,23.0,20,1,A,3,25,25134,15.0
Urban,Mid,West,Zone 4,8,0,4,8125,Rented,46,1,0,1,202,25.0,5,1,B,3,11,6083,14.0
Rural,Large,South,Zone 5,5,0,2,4421,Rented,17,0,0,1,68,32.0,8,0,C,4,25,10098,7.0
Rural,Small,South,Zone 1,8,0,4,4569,Rented,52,0,0,1,72,40.0,22,0,B+,4,21,26136,21.0
Rural,Large,North,Zone 6,1,0,3,3119,Rented,46,0,0,1,154,30.0,10,0,A+,6,28,14063,14.0
Rural,Small,West,Zone 6,5,0,3,8598,Rented,38,0,1,1,181,34.0,27,0,C,5,15,35126,26.0
Rural,Small,South,Zone 6,5,0,4,5505,Rented,18,0,0,1,254,25.0,5,0,B,1,9,5090,14.0
Rural,Large,West,Zone 5,6,5,2,5287,Company Owned,53,0,0,1,210,30.0,21,1,C,6,14,28129,14.0
Rural,Mid,West,Zone 3,2,0,8,4828,Company Owned,63,0,0,1,162,38.0,22,1,B,6,27,28068,14.0
Rural,Large,North,Zone 5,6,3,2,4414,Rented,58,0,1,1,87,34.0,11,0,C,1,24,14089,14.0
Rural,Large,North,Zone 5,5,5,3,4700,Company Owned,54,0,0,1,112,37.0,15,0,C,4,24,19123,14.0
Rural,Small,North,Zone 6,2,0,3,4926,Company Owned,64,0,0,1,123,27.0,0,0,Unknown,0,9,3108,14.0
Urban,Large,South,Zone 6,1,1,3,6317,Company Owned,50,1,0,1,122,28.0,9,0,A+,4,29,12121,14.0
Rural,Mid,North,Zone 2,4,0,3,5239,Company Owned,65,0,0,1,101,22.0,5,1,C,2,1,6151,2.0
Rural,Large,North,Zone 6,7,0,2,5298,Company Owned,29,1,0,0,253,34.0,20,1,C,6,29,28107,11.0
Rural,Mid,West,Zone 4,8,0,2,5483,Rented,62,0,0,1,248,27.0,14,1,A+,3,11,18067,14.0
Rural,Large,West,Zone 6,8,1,3,4716,Company Owned,15,1,0,0,89,46.0,16,1,A+,6,23,21113,14.0
Rural,Large,South,Zone 5,5,0,2,4380,Rented,24,0,0,1,86,38.0,30,1,A,5,10,43098,23.0
Rural,Large,North,Zone 5,3,0,2,4910,Company Owned,31,0,0,1,205,32.0,24,1,C,5,17,33138,13.0
Rural,Mid,North,Zone 2,1,2,4,5545,Rented,32,0,0,1,173,28.0,0,0,Unknown,0,12,4077,14.0
Urban,Mid,North,Zone 3,5,3,3,8236,Company Owned,44,0,0,1,78,29.0,16,1,A+,4,27,21100,20.0
Rural,Large,North,Zone 6,0,0,4,4535,Company Owned,24,0,0,1,208,44.0,21,0,B,4,28,24101,14.0
Rural,Small,South,Zone 1,3,3,2,6731,Rented,50,0,0,0,112,16.0,18,1,A+,6,21,23063,14.0
Rural,Large,North,Zone 5,3,2,2,4835,Company Owned,54,1,0,1,74,35.0,6,1,A+,6,5,8101,14.0
Urban,Mid,West,Zone 2,8,0,4,4235,Company Owned,65,0,0,1,195,26.0,25,0,B+,2,12,28123,23.0
Rural,Small,West,Zone 6,5,0,7,4942,Company Owned,53,0,0,1,200,24.0,30,1,A+,3,15,42132,24.0
Rural,Mid,North,Zone 4,4,4,6,4952,Rented,37,0,0,1,247,25.0,9,1,B,5,26,10079,7.0
Rural,Large,West,Zone 6,8,0,1,5385,Rented,52,0,0,0,114,36.0,21,0,B+,6,23,27150,8.0
Rural,Small,South,Zone 6,5,1,2,6024,Company Owned,70,0,0,1,167,26.0,6,0,A,6,2,8130,14.0
Rural,Small,West,Zone 6,3,1,4,5587,Company Owned,37,0,0,1,243,38.0,11,0,B,2,9,14109,10.0
Rural,Small,North,Zone 1,7,0,3,6009,Company Owned,23,0,0,1,83,24.0,16,1,A,3,16,24136,6.0
Rural,Large,West,Zone 5,8,0,1,5616,Rented,35,0,0,1,185,32.0,23,0,B,3,25,26095,22.0
Rural,Small,South,Zone 6,1,0,2,3507,Rented,34,0,0,1,215,25.0,24,0,B+,6,2,27129,14.0
Rural,Small,North,Zone 1,8,0,3,4456,Company Owned,31,0,0,0,141,17.0,9,1,B+,3,21,11128,7.0
Rural,Large,North,Zone 6,6,0,4,4251,Rented,64,0,0,1,122,25.0,17,0,B+,4,28,21112,12.0
Rural,Small,North,Zone 1,5,0,2,4966,Company Owned,33,0,0,1,124,21.0,7,0,B+,1,3,8086,4.0
Urban,Mid,West,Zone 2,2,1,4,6250,Company Owned,28,0,0,1,192,43.0,16,0,C,6,12,20066,14.0
Rural,Small,West,Zone 6,6,3,4,4940,Company Owned,68,0,0,1,256,20.0,12,0,A,3,9,15140,14.0
Urban,Mid,West,Zone 3,4,0,3,4527,Rented,40,0,1,1,125,19.0,19,0,B,6,19,23095,12.0
Rural,Large,West,Zone 6,6,0,2,5355,Rented,22,1,0,1,169,40.0,24,0,B+,5,23,28146,26.0
Rural,Large,North,Zone 6,8,0,3,5075,Rented,18,0,0,0,177,15.0,35,0,B+,5,28,44097,21.0
Rural,Large,West,Zone 5,8,0,3,3965,Rented,47,0,0,0,91,13.0,5,1,C,4,14,6070,6.0
Rural,Small,North,Zone 1,0,0,4,3938,Rented,22,0,0,1,232,25.0,21,0,B,6,30,26077,14.0
Rural,Large,West,Zone 6,8,3,5,4764,Company Owned,53,0,0,1,220,28.0,4,1,C,3,6,5079,14.0
Rural,Large,North,Zone 5,2,1,3,5774,Company Owned,28,0,0,1,78,30.0,14,0,A+,4,17,17109,14.0
Rural,Mid,South,Zone 4,1,2,1,5462,Rented,15,0,0,0,199,27.0,15,0,A+,5,26,19149,14.0
Rural,Mid,North,Zone 2,6,0,3,4561,Rented,18,0,0,0,128,18.0,18,1,A+,1,12,26065,7.0
Rural,Mid,West,Zone 4,4,0,7,3058,Rented,30,0,0,0,148,30.0,32,0,A,4,11,44065,19.0
Rural,Mid,South,Zone 4,8,0,2,3496,Company Owned,33,0,0,1,225,35.0,18,0,A,5,20,23108,13.0
Urban,Large,South,Zone 5,4,1,2,4519,Company Owned,53,0,0,1,135,49.0,14,1,C,6,10,18101,14.0
Rural,Large,North,Zone 6,2,0,4,3084,Rented,62,0,0,0,81,23.0,24,0,C,4,28,31075,14.0
Rural,Small,West,Zone 6,5,1,4,4951,Rented,33,0,0,0,136,19.0,24,1,A+,3,9,30114,17.0
Rural,Small,South,Zone 1,8,0,4,4353,Company Owned,43,0,0,1,125,27.0,19,0,C,6,3,25118,14.0
Rural,Small,West,Zone 6,8,0,4,5346,Company Owned,24,0,0,0,80,16.0,25,0,C,3,15,33096,18.0
Rural,Large,West,Zone 5,8,2,4,4517,Company Owned,19,0,0,0,154,29.0,9,0,B+,5,24,11074,6.0
Rural,Small,South,Zone 6,8,1,2,4519,Company Owned,55,0,0,1,239,23.0,30,0,C,6,9,39124,22.0
Rural,Large,North,Zone 6,0,1,4,5677,Rented,66,0,0,0,246,20.0,0,0,Unknown,0,29,3075,14.0
Rural,Mid,South,Zone 3,0,3,2,5325,Rented,43,0,0,1,233,16.0,4,0,B,2,27,5115,14.0
Rural,Large,South,Zone 6,5,0,4,5317,Company Owned,38,0,0,1,248,25.0,12,1,C,4,29,17124,9.0
Rural,Mid,South,Zone 3,0,1,3,3746,Rented,63,0,0,1,176,22.0,10,0,A+,5,27,14063,14.0
Rural,Small,West,Zone 6,6,1,4,5021,Rented,36,0,0,0,191,32.0,4,0,B+,2,15,5083,2.0
Urban,Small,North,Zone 6,1,0,3,4992,Company Owned,57,0,0,0,219,43.0,15,0,B,4,9,19118,14.0
Rural,Large,South,Zone 5,3,0,2,5751,Company Owned,26,0,0,1,93,29.0,0,0,Unknown,0,25,6068,2.0
Rural,Mid,West,Zone 4,8,0,4,5145,Rented,34,0,0,1,59,24.0,23,0,B+,6,11,27079,22.0
Rural,Large,North,Zone 6,3,0,2,5468,Rented,61,0,0,0,238,22.0,19,0,B+,5,29,23104,14.0
Rural,Mid,East,Zone 3,8,0,8,4373,Company Owned,67,0,1,0,129,28.0,24,1,C,3,27,32133,25.0
Rural,Large,North,Zone 5,1,0,4,4782,Rented,25,0,0,0,244,23.0,5,0,B,3,24,6130,14.0
Rural,Mid,North,Zone 2,1,1,2,5335,Company Owned,53,0,0,1,133,35.0,16,0,B+,3,22,19150,14.0
Rural,Large,North,Zone 6,4,0,4,5181,Rented,18,0,0,1,200,30.0,11,1,A+,2,28,15125,9.0
Rural,Large,South,Zone 5,0,1,3,4877,Company Owned,47,0,0,1,177,29.0,0,0,Unknown,0,10,4139,14.0
Rural,Mid,North,Zone 3,1,0,2,6650,Rented,22,0,0,1,114,39.0,11,0,C,1,19,15120,14.0
Rural,Mid,West,Zone 4,1,0,4,6880,Rented,63,0,0,0,191,21.0,15,0,B+,2,11,17101,14.0
Rural,Large,West,Zone 5,4,0,4,5516,Rented,63,0,0,1,55,26.0,23,1,A,6,10,31139,25.0
Rural,Mid,West,Zone 2,0,1,4,5985,Company Owned,42,0,0,1,163,40.0,25,0,A+,4,1,33134,14.0
Rural,Small,North,Zone 1,7,0,3,5601,Company Owned,31,0,0,1,117,25.0,4,1,C,2,3,5141,1.0
Rural,Large,North,Zone 5,3,4,4,4514,Rented,48,0,0,1,216,26.0,13,0,C,4,24,17126,10.0
Rural,Large,North,Zone 6,6,2,3,4339,Company Owned,15,0,0,1,227,24.0,24,0,A,5,6,30096,14.0
Rural,Large,West,Zone 5,1,5,4,4421,Rented,62,0,0,0,236,23.0,19,1,B,4,14,23086,14.0
Rural,Mid,West,Zone 3,3,0,7,3830,Rented,40,0,0,0,206,23.0,6,0,B+,1,27,7069,4.0
Rural,Large,North,Zone 5,6,0,3,4094,Company Owned,63,1,0,1,269,32.0,21,0,B,3,17,24148,14.0
Rural,Small,South,Zone 6,5,0,3,4439,Rented,64,0,0,1,80,23.0,30,0,B+,6,9,35065,19.0
Rural,Small,West,Zone 6,7,0,3,6881,Company Owned,41,1,0,0,211,34.0,24,1,A+,6,9,31127,18.0
